[Wed May 08 00:19:01.106515 2024] [php7:warn] [pid 168561] [client 23.88.105.37:52782] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:19:01.106551 2024] [php7:warn] [pid 168561] [client 23.88.105.37:52782] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:19:01.106559 2024] [php7:notice] [pid 168561] [client 23.88.105.37:52782] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:19:01.106565 2024] [php7:notice] [pid 168561] [client 23.88.105.37:52782] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:19:01.342388 2024] [php7:notice] [pid 168473] [client 116.203.134.67:45554] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:19:01.342438 2024] [php7:notice] [pid 168473] [client 116.203.134.67:45554] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:19:01.342466 2024] [php7:notice] [pid 168473] [client 116.203.134.67:45554] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:19:29.382421 2024] [php7:error] [pid 168597] [client 81.69.197.181:51272] script '/var/www/html/wp-login.php' not found or unable to stat, referer: http://www.superlender.co.ke/wp-login.php
[Wed May 08 00:20:00.797042 2024] [php7:warn] [pid 168560] [client 23.88.105.37:3180] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:20:00.797088 2024] [php7:warn] [pid 168560] [client 23.88.105.37:3180] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:20:00.797100 2024] [php7:notice] [pid 168560] [client 23.88.105.37:3180] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:20:00.797109 2024] [php7:notice] [pid 168560] [client 23.88.105.37:3180] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
