Application ID,Loan No,Repaid Date,Mpesa Code,Amount,Balance
K40033,1,7/28/2023,RGS6M0IF7Y,200,"6800"
K40034,1,7/16/2023,RGG6PPIKJO,2,"7798"
K40034,1,7/17/2023,RGH8PPN5VO,220,"7578"
K40034,1,7/24/2023,RGO4CY30YG,500,"7078"
K40035,1,7/12/2023,RGC1E6LMGR,220,"6280"
K40035,1,7/21/2023,RGL52S8IQX,150,"6130"
K40035,1,7/24/2023,RGO2AV1GOU,200,"5930"
K40035,1,7/26/2023,RGQ7GTI581,200,"5730"
K40035,1,7/28/2023,RGS4LZZ2XS,300,"5430"
K40036,1,7/15/2023,RGF9KAG88R,300,"7500"
K40036,1,7/15/2023,RGF4N35NM8,134,"7366"
K40036,1,7/16/2023,RGG1PP41CT,220,"7146"
K40036,1,7/18/2023,RGI9VJ798F,250,"6896"
K40036,1,7/27/2023,RGR4JUTSPS,190,"6706"
K40037,1,7/25/2023,RGQ2FYAA44,500,"12500"
K40038,1,7/25/2023,RGP7DMOK8P,1000,"6800"
K40038,1,8/2/2023,RH26294KN8,225,"6575"
K40038,1,8/3/2023,RH3252MBPC,400,"6175"
K40039,1,7/24/2023,RGO7A7M7MJ,1625,"4375"
K40039,1,7/28/2023,RGS8MUZP8I,400,"3975"
K40039,1,7/30/2023,RGU1U6KA2N,1500,"2475"
K40039,1,8/2/2023,RH202P0Z8K,2475,0
K40040,1,7/21/2023,RGL92RNIZT,250,"7550"
K40040,1,7/26/2023,RGQ1GIICWP,250,"7300"
K40040,1,7/27/2023,RGR5K4H6LR,200,"7100"
K40041,1,7/26/2023,RGQ1H5R77N,900,"12100"
K40042,1,8/2/23,RH2743G75R,240,"12760"
K40042,1,8/1/23,RH1213SYM4,300,"12460"
K40042,1,7/31/2023,RGV0X5236Q,330,"12130"
K40042,1,7/31/2023,RGV5UFHZRB,400,"11730"
K40042,1,7/28/2023,RGS3OI5G9V,300,"11430"
K40042,1,7/28/2023,RGS3MRHRYV,330,"11100"
K40042,1,7/27/2023,RGR8K10WWS,350,"10750"
K40042,1,7/27/2023,RGR2K0LYBQ,150,"10600"
K40043,1,7/26/2023,RGQ0GKIOPM,950,"5550"
K40043,1,7/26/2023,RGQ3IKLAB3,675,"4875"
K40043,1,8/2/2023,RH26212MV8,600,"4275"
K40043,1,8/3/2023,RH324ANE5G,1025,"3250"
